age,age_cohort,vote_choice,race,income_tier,urbanicity,region,education,gender,religion,state,pid7
46,"(29,49]",democrat,White,Lower income,Rural,South,High School Graduate,Female,Agnostic,Florida,3
56,"(49,64]",republican,White,Lower income,Rural,West,High School Graduate,Female,Protestant,Idaho,7
40,"(29,49]",democrat,White,Lower income,Urban,West,No High School,Female,Roman Catholic,Colorado,1
45,"(29,49]",democrat,Middle Eastern,Lower income,Urban,West,High School Graduate,Female,Something else,Hawaii,2
64,"(49,64]",democrat,Black,Lower income,Urban,West,No High School,Female,Something else,Hawaii,1
37,"(29,49]",republican,Native American,Lower income,Rural,West,High School Graduate,Female,Protestant,Oklahoma,7
68,"(64,90]",republican,White,Lower income,Rural,West,High School Graduate,Female,Something else,Montana,5
56,"(49,64]",democrat,Black,Lower income,Urban,Midwest,2-year College Degree,Male,Nothing in particular,Ohio,4
77,"(64,90]",democrat,Black,Lower income,Urban,Midwest,No High School,Male,Nothing in particular,Ohio,3
32,"(29,49]",republican,White,Lower income,Rural,South,High School Graduate,Female,Protestant,Maryland,6
26,"(18,29]",democrat,Black,Lower income,Urban,West,No High School,Male,Nothing in particular,Idaho,2
61,"(49,64]",democrat,White,Lower income,Urban,West,High School Graduate,Male,Jewish,Oklahoma,2
55,"(49,64]",republican,White,Lower income,Rural,West,High School Graduate,Female,Protestant,Washington,6
55,"(49,64]",democrat,White,Lower income,Rural,West,High School Graduate,Male,Nothing in particular,Wyoming,1
26,"(18,29]",democrat,Hispanic,Lower income,Urban,Midwest,No High School,Female,Roman Catholic,Ohio,1
39,"(29,49]",democrat,Black,Lower income,Urban,Midwest,2-year College Degree,Female,Nothing in particular,Nebraska,2
67,"(64,90]",democrat,White,Lower income,Rural,Midwest,High School Graduate,Female,Roman Catholic,Missouri,2
35,"(29,49]",democrat,Hispanic,Lower income,Urban,South,4-year College Degree,Female,Roman Catholic,North Carolina,2
65,"(64,90]",republican,White,Lower income,Rural,West,High School Graduate,Male,Roman Catholic,Hawaii,7
47,"(29,49]",republican,Hispanic,Lower income,Rural,West,High School Graduate,Female,Roman Catholic,Idaho,6
41,"(29,49]",democrat,White,Lower income,Urban,West,2-year College Degree,Female,Nothing in particular,Oklahoma,1
54,"(49,64]",democrat,White,Lower income,Urban,South,High School Graduate,Female,Atheist,Alabama,1
29,"(18,29]",democrat,Hispanic,Lower income,Urban,West,Some College,Male,Buddhist,Colorado,1
35,"(29,49]",republican,Hispanic,Lower income,Urban,West,High School Graduate,Female,Hindu,Colorado,2
63,"(49,64]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Muslim,South Dakota,1
23,"(18,29]",democrat,Black,Lower income,Urban,West,Some College,Female,Protestant,Hawaii,1
22,"(18,29]",democrat,Black,Lower income,Rural,Midwest,Some College,Female,Muslim,Ohio,5
47,"(29,49]",republican,Hispanic,Lower income,Urban,West,No High School,Female,Something else,Washington,7
52,"(49,64]",democrat,Black,Lower income,Urban,Midwest,Some College,Female,Protestant,Ohio,1
38,"(29,49]",democrat,Black,Lower income,Urban,South,Some College,Female,Protestant,Maryland,2
54,"(49,64]",democrat,Black,Lower income,Urban,South,High School Graduate,Male,Muslim,North Carolina,1
20,"(18,29]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Muslim,Ohio,1
30,"(29,49]",democrat,Black,Lower income,Rural,Northeast,2-year College Degree,Female,Nothing in particular,Massachusetts,4
34,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Agnostic,Kansas,2
46,"(29,49]",republican,Hispanic,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Washington,4
33,"(29,49]",republican,White,Lower income,Rural,West,No High School,Male,Nothing in particular,Idaho,6
42,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,Kansas,1
24,"(18,29]",democrat,White,Lower income,Urban,West,High School Graduate,Male,Atheist,Hawaii,1
39,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,Ohio,1
49,"(29,49]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Something else,Alabama,1
27,"(18,29]",democrat,Black,Lower income,Urban,Midwest,4-year College Degree,Male,Protestant,Ohio,1
57,"(49,64]",democrat,White,Lower income,Rural,West,High School Graduate,Female,Roman Catholic,Washington,4
74,"(64,90]",democrat,Hispanic,Lower income,Urban,Midwest,Some College,Female,Roman Catholic,North Dakota,2
27,"(18,29]",republican,Black,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,Missouri,7
38,"(29,49]",democrat,Black,Lower income,Urban,Northeast,No High School,Female,Nothing in particular,Pennsylvania,1
71,"(64,90]",republican,White,Lower income,Urban,South,High School Graduate,Female,Roman Catholic,Arkansas,7
39,"(29,49]",republican,White,Lower income,Rural,West,No High School,Female,Protestant,Washington,7
48,"(29,49]",republican,White,Lower income,Rural,Midwest,No High School,Female,Protestant,Nebraska,7
66,"(64,90]",democrat,White,Lower income,Rural,West,No High School,Male,Protestant,District of Columbia,1
40,"(29,49]",democrat,Black,Lower income,Urban,West,Some College,Male,Nothing in particular,Montana,1
57,"(49,64]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Protestant,Utah,1
32,"(29,49]",democrat,Black,Upper income,Urban,Midwest,Postgraduate Degree,Male,Protestant,Ohio,1
30,"(29,49]",democrat,Black,Lower income,Urban,Midwest,Some College,Female,Agnostic,Missouri,1
46,"(29,49]",democrat,Other,Lower income,Urban,South,Some College,Female,Nothing in particular,North Carolina,2
40,"(29,49]",democrat,White,Lower income,Rural,Midwest,2-year College Degree,Female,Agnostic,South Dakota,1
45,"(29,49]",democrat,Hispanic,Lower income,Rural,Midwest,High School Graduate,Male,Roman Catholic,North Dakota,1
30,"(29,49]",democrat,Middle Eastern,Lower income,Urban,Midwest,Some College,Male,Nothing in particular,North Dakota,6
57,"(49,64]",republican,White,Lower income,Rural,West,High School Graduate,Female,Mormon,Washington,7
65,"(64,90]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Oklahoma,1
43,"(29,49]",democrat,White,Lower income,Rural,West,2-year College Degree,Male,Buddhist,Washington,3
57,"(49,64]",democrat,Black,Lower income,Rural,Midwest,Some College,Male,Something else,Nebraska,1
61,"(49,64]",republican,Middle Eastern,Lower income,Urban,West,High School Graduate,Male,Something else,Colorado,4
59,"(49,64]",democrat,Hispanic,Lower income,Urban,Midwest,High School Graduate,Female,Roman Catholic,Ohio,1
38,"(29,49]",democrat,Hispanic,Lower income,Urban,West,4-year College Degree,Female,Roman Catholic,Hawaii,1
52,"(49,64]",democrat,Native American,Lower income,Urban,West,No High School,Female,Something else,Colorado,1
67,"(64,90]",republican,White,Lower income,Rural,West,High School Graduate,Female,Protestant,Washington,7
40,"(29,49]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Female,Roman Catholic,Ohio,1
43,"(29,49]",democrat,White,Upper income,Urban,South,Postgraduate Degree,Female,Atheist,Georgia,1
58,"(49,64]",republican,White,Upper income,Rural,West,Postgraduate Degree,Male,Protestant,Oregon,4
51,"(49,64]",democrat,White,Lower income,Urban,South,2-year College Degree,Female,Roman Catholic,Louisiana,4
36,"(29,49]",republican,Black,Lower income,Urban,West,High School Graduate,Female,Something else,Washington,1
21,"(18,29]",democrat,Black,Lower income,Urban,West,Some College,Male,Atheist,District of Columbia,1
49,"(29,49]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Male,Agnostic,Ohio,1
51,"(49,64]",democrat,Black,Lower income,Urban,West,Some College,Male,Nothing in particular,Wyoming,2
35,"(29,49]",democrat,White,Upper income,Urban,South,Postgraduate Degree,Male,Roman Catholic,Mississippi,1
35,"(29,49]",democrat,White,Lower income,Urban,West,Some College,Female,Agnostic,Nevada,1
51,"(49,64]",democrat,Hispanic,Lower income,Urban,Midwest,Some College,Male,Roman Catholic,Kansas,1
54,"(49,64]",democrat,White,Lower income,Urban,West,Some College,Female,Nothing in particular,Washington,3
60,"(49,64]",republican,White,Lower income,Urban,Northeast,Some College,Male,Nothing in particular,Pennsylvania,4
49,"(29,49]",republican,Asian,Upper income,Urban,West,4-year College Degree,Male,Agnostic,Colorado,7
56,"(49,64]",democrat,Black,Lower income,Rural,Midwest,High School Graduate,Female,Protestant,Nebraska,1
51,"(49,64]",democrat,Black,Lower income,Rural,Midwest,No High School,Female,Protestant,Nebraska,2
25,"(18,29]",democrat,Black,Lower income,Rural,Midwest,Some College,Female,Nothing in particular,Nebraska,4
60,"(49,64]",democrat,Hispanic,Lower income,Rural,Midwest,High School Graduate,Female,Roman Catholic,Ohio,2
35,"(29,49]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Eastern or Greek Orthodox,Hawaii,1
39,"(29,49]",democrat,Black,Lower income,Urban,Midwest,No High School,Female,Protestant,Ohio,1
51,"(49,64]",republican,White,Lower income,Rural,Midwest,High School Graduate,Female,Roman Catholic,Minnesota,4
68,"(64,90]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Idaho,1
33,"(29,49]",republican,White,Lower income,Urban,South,4-year College Degree,Male,Something else,Mississippi,4
25,"(18,29]",democrat,Black,Lower income,Urban,West,2-year College Degree,Male,Nothing in particular,Oklahoma,1
31,"(29,49]",democrat,Middle Eastern,Lower income,Urban,South,High School Graduate,Male,Something else,Delaware,1
24,"(18,29]",republican,Black,Lower income,Rural,Northeast,High School Graduate,Female,Nothing in particular,Maine,7
43,"(29,49]",republican,Other,Lower income,Urban,West,2-year College Degree,Female,Agnostic,Nevada,4
30,"(29,49]",democrat,White,Lower income,Urban,West,No High School,Female,Nothing in particular,Washington,2
44,"(29,49]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Washington,3
37,"(29,49]",democrat,Black,Lower income,Urban,Midwest,Some College,Male,Eastern or Greek Orthodox,Ohio,4
66,"(64,90]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Kansas,2
22,"(18,29]",democrat,Black,Lower income,Urban,Midwest,Some College,Female,Nothing in particular,Ohio,2
28,"(18,29]",republican,White,Lower income,Urban,South,No High School,Male,Nothing in particular,Alabama,4
29,"(18,29]",republican,White,Lower income,Rural,Midwest,High School Graduate,Male,Protestant,Missouri,7
39,"(29,49]",democrat,Hispanic,Lower income,Urban,Midwest,High School Graduate,Male,Roman Catholic,Ohio,1
52,"(49,64]",republican,White,Lower income,Rural,Northeast,High School Graduate,Male,Something else,Pennsylvania,7
46,"(29,49]",democrat,Black,Lower income,Urban,West,Some College,Female,Protestant,Washington,1
55,"(49,64]",republican,White,Lower income,Rural,South,No High School,Male,Nothing in particular,Maryland,2
30,"(29,49]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Oklahoma,1
29,"(18,29]",republican,White,Lower income,Urban,South,4-year College Degree,Female,Protestant,Louisiana,6
47,"(29,49]",democrat,White,Lower income,Urban,South,No High School,Female,Nothing in particular,South Carolina,4
42,"(29,49]",democrat,Hispanic,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,North Dakota,6
53,"(49,64]",democrat,White,Lower income,Urban,South,No High School,Female,Nothing in particular,Louisiana,1
72,"(64,90]",democrat,Native American,Lower income,Rural,Northeast,No High School,Female,Protestant,Rhode Island,1
29,"(18,29]",democrat,White,Lower income,Urban,West,4-year College Degree,Male,Atheist,Idaho,1
35,"(29,49]",republican,White,Lower income,Rural,West,High School Graduate,Male,Nothing in particular,Oklahoma,6
62,"(49,64]",democrat,Black,Lower income,Urban,Northeast,Some College,Female,Protestant,Pennsylvania,1
26,"(18,29]",republican,Hispanic,Lower income,Rural,Midwest,No High School,Female,Nothing in particular,Ohio,5
34,"(29,49]",democrat,White,Lower income,Rural,South,High School Graduate,Male,Nothing in particular,Maryland,3
38,"(29,49]",republican,White,Lower income,Rural,Midwest,No High School,Female,Nothing in particular,Missouri,7
52,"(49,64]",republican,White,Lower income,Rural,South,High School Graduate,Female,Protestant,Virginia,6
37,"(29,49]",democrat,Black,Lower income,Rural,Northeast,High School Graduate,Female,Protestant,Massachusetts,7
36,"(29,49]",republican,Hispanic,Lower income,Rural,West,Some College,Female,Nothing in particular,Washington,4
25,"(18,29]",democrat,White,Lower income,Urban,West,4-year College Degree,Female,Nothing in particular,Colorado,3
34,"(29,49]",democrat,White,Lower income,Rural,South,High School Graduate,Male,Nothing in particular,Mississippi,1
36,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,California,1
74,"(64,90]",democrat,White,Lower income,Urban,Midwest,No High School,Female,Nothing in particular,Ohio,1
27,"(18,29]",democrat,Asian,Lower income,Urban,West,Some College,Female,Muslim,Colorado,2
36,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Nothing in particular,Oklahoma,1
25,"(18,29]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,Nebraska,1
45,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,Kansas,1
52,"(49,64]",democrat,Black,Lower income,Urban,Midwest,2-year College Degree,Female,Buddhist,Kansas,2
20,"(18,29]",democrat,Hispanic,Lower income,Urban,South,High School Graduate,Female,Jewish,North Carolina,7
58,"(49,64]",republican,White,Lower income,Urban,Northeast,Some College,Male,Protestant,Massachusetts,4
60,"(49,64]",republican,White,Lower income,Rural,West,No High School,Female,Nothing in particular,Hawaii,3
65,"(64,90]",democrat,Asian,Lower income,Urban,West,High School Graduate,Female,Buddhist,Colorado,2
38,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Nevada,1
37,"(29,49]",democrat,Black,Lower income,Rural,South,High School Graduate,Male,Protestant,Alabama,1
39,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Protestant,Washington,7
71,"(64,90]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,New Mexico,1
62,"(49,64]",democrat,White,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Colorado,1
25,"(18,29]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Nothing in particular,Oklahoma,1
31,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Ohio,1
23,"(18,29]",republican,Black,Lower income,Rural,Midwest,High School Graduate,Female,Roman Catholic,Minnesota,1
50,"(49,64]",republican,White,Lower income,Urban,South,High School Graduate,Female,Protestant,Maryland,7
65,"(64,90]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Protestant,Washington,2
66,"(64,90]",republican,White,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Nevada,5
29,"(18,29]",republican,White,Lower income,Urban,South,No High School,Male,Protestant,Louisiana,5
22,"(18,29]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Colorado,1
82,"(64,90]",republican,White,Lower income,Urban,Northeast,High School Graduate,Female,Roman Catholic,New York,6
20,"(18,29]",democrat,White,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,South Dakota,3
43,"(29,49]",democrat,Black,Lower income,Urban,Midwest,No High School,Female,Nothing in particular,Ohio,1
66,"(64,90]",republican,White,Lower income,Rural,Midwest,No High School,Female,Protestant,South Dakota,6
24,"(18,29]",democrat,Middle Eastern,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Kansas,4
41,"(29,49]",democrat,White,Lower income,Urban,Northeast,No High School,Female,Nothing in particular,Pennsylvania,4
21,"(18,29]",democrat,Black,Lower income,Urban,Midwest,Some College,Male,Roman Catholic,Minnesota,1
26,"(18,29]",democrat,Black,Lower income,Urban,Midwest,Some College,Male,Something else,South Dakota,1
25,"(18,29]",republican,White,Lower income,Rural,West,High School Graduate,Male,Roman Catholic,Hawaii,7
59,"(49,64]",democrat,Black,Lower income,Urban,South,No High School,Female,Protestant,Virginia,1
40,"(29,49]",democrat,Black,Upper income,Rural,Midwest,4-year College Degree,Male,Nothing in particular,Missouri,4
44,"(29,49]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,Maryland,2
63,"(49,64]",democrat,White,Lower income,Urban,Northeast,High School Graduate,Female,Protestant,New Jersey,1
50,"(49,64]",republican,Hispanic,Lower income,Urban,West,High School Graduate,Female,Something else,Hawaii,7
26,"(18,29]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Female,Atheist,Kansas,1
41,"(29,49]",democrat,Asian,Upper income,Urban,Midwest,Postgraduate Degree,Male,Something else,Ohio,1
46,"(29,49]",democrat,Hispanic,Lower income,Urban,Midwest,No High School,Male,Roman Catholic,Ohio,1
56,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Protestant,Hawaii,4
22,"(18,29]",republican,White,Lower income,Urban,South,Some College,Female,Protestant,Kentucky,7
42,"(29,49]",democrat,Black,Lower income,Rural,West,Some College,Female,Nothing in particular,Idaho,1
39,"(29,49]",republican,Black,Upper income,Urban,South,High School Graduate,Female,Nothing in particular,Kentucky,1
37,"(29,49]",republican,Black,Lower income,Rural,South,Some College,Female,Nothing in particular,Alabama,1
51,"(49,64]",republican,Hispanic,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,Ohio,7
53,"(49,64]",republican,White,Lower income,Rural,West,No High School,Female,Protestant,Oklahoma,7
71,"(64,90]",democrat,Black,Lower income,Urban,Midwest,4-year College Degree,Male,Protestant,Missouri,1
39,"(29,49]",republican,White,Lower income,Rural,West,2-year College Degree,Male,Jewish,Washington,7
25,"(18,29]",democrat,Black,Upper income,Urban,Midwest,4-year College Degree,Male,Roman Catholic,Ohio,2
50,"(49,64]",republican,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Idaho,5
34,"(29,49]",republican,White,Lower income,Rural,West,High School Graduate,Male,Protestant,Oklahoma,7
23,"(18,29]",democrat,Middle Eastern,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Ohio,4
56,"(49,64]",democrat,Black,Lower income,Urban,West,Some College,Female,Nothing in particular,Hawaii,2
48,"(29,49]",democrat,Black,Lower income,Rural,Northeast,No High School,Female,Something else,Massachusetts,2
49,"(29,49]",democrat,Black,Lower income,Urban,Midwest,Some College,Female,Nothing in particular,South Dakota,2
24,"(18,29]",democrat,Asian,Lower income,Urban,Midwest,High School Graduate,Male,Roman Catholic,Ohio,1
59,"(49,64]",democrat,Black,Lower income,Urban,Northeast,No High School,Female,Protestant,Massachusetts,1
67,"(64,90]",democrat,Black,Lower income,Urban,Northeast,Some College,Female,Protestant,Pennsylvania,1
32,"(29,49]",democrat,Black,Lower income,Rural,West,No High School,Female,Something else,Oklahoma,1
38,"(29,49]",democrat,Middle Eastern,Lower income,Urban,Midwest,No High School,Female,Something else,Ohio,4
51,"(49,64]",democrat,Hispanic,Lower income,Rural,South,High School Graduate,Female,Protestant,Arkansas,1
20,"(18,29]",democrat,White,Upper income,Urban,Midwest,2-year College Degree,Female,Jewish,Minnesota,1
23,"(18,29]",democrat,White,Lower income,Urban,West,4-year College Degree,Male,Roman Catholic,Hawaii,6
33,"(29,49]",democrat,Black,Upper income,Urban,West,Postgraduate Degree,Female,Protestant,Oklahoma,4
22,"(18,29]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Roman Catholic,Minnesota,1
58,"(49,64]",democrat,Black,Lower income,Urban,Midwest,Some College,Female,Atheist,Ohio,4
43,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Idaho,1
20,"(18,29]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Idaho,1
45,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Hawaii,1
22,"(18,29]",democrat,Asian,Lower income,Urban,West,High School Graduate,Male,Roman Catholic,Montana,4
38,"(29,49]",democrat,Black,Lower income,Urban,West,4-year College Degree,Female,Roman Catholic,Idaho,1
61,"(49,64]",republican,White,Lower income,Rural,Midwest,No High School,Female,Nothing in particular,Nebraska,7
59,"(49,64]",democrat,White,Lower income,Urban,West,High School Graduate,Male,Atheist,Oregon,2
30,"(29,49]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,North Carolina,1
24,"(18,29]",democrat,Black,Lower income,Rural,West,High School Graduate,Male,Mormon,Wyoming,1
27,"(18,29]",republican,White,Lower income,Urban,South,High School Graduate,Male,Roman Catholic,Kentucky,7
39,"(29,49]",democrat,Black,Lower income,Rural,Midwest,Some College,Female,Protestant,Nebraska,1
29,"(18,29]",democrat,White,Lower income,Rural,West,High School Graduate,Female,Something else,California,1
79,"(64,90]",republican,White,Lower income,Rural,Midwest,No High School,Female,Something else,Ohio,7
30,"(29,49]",democrat,Black,Lower income,Rural,South,2-year College Degree,Female,Protestant,Alabama,1
22,"(18,29]",democrat,Middle Eastern,Lower income,Urban,West,Some College,Female,Protestant,Montana,1
28,"(18,29]",democrat,Hispanic,Lower income,Urban,South,No High School,Male,Roman Catholic,Arkansas,3
69,"(64,90]",republican,White,Lower income,Rural,Midwest,No High School,Female,Protestant,Ohio,7
38,"(29,49]",democrat,Hispanic,Lower income,Urban,West,No High School,Male,Roman Catholic,Colorado,1
36,"(29,49]",democrat,White,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,Missouri,3
30,"(29,49]",republican,White,Lower income,Rural,Midwest,High School Graduate,Female,Something else,Ohio,4
32,"(29,49]",democrat,Black,Lower income,Urban,West,Some College,Female,Protestant,Colorado,1
40,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,South Dakota,1
32,"(29,49]",democrat,White,Lower income,Urban,Northeast,Some College,Male,Nothing in particular,Pennsylvania,7
34,"(29,49]",republican,White,Lower income,Urban,Northeast,High School Graduate,Male,Agnostic,Pennsylvania,6
42,"(29,49]",democrat,Hispanic,Lower income,Rural,Midwest,High School Graduate,Female,Roman Catholic,Ohio,1
67,"(64,90]",republican,White,Lower income,Urban,West,No High School,Female,Protestant,Washington,7
29,"(18,29]",democrat,Black,Lower income,Rural,Midwest,Some College,Male,Nothing in particular,Ohio,2
29,"(18,29]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Atheist,Kentucky,1
47,"(29,49]",republican,White,Lower income,Rural,South,No High School,Male,Roman Catholic,Maryland,6
39,"(29,49]",democrat,Black,Lower income,Rural,Northeast,2-year College Degree,Male,Agnostic,Pennsylvania,1
36,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Protestant,Idaho,4
51,"(49,64]",democrat,Black,Lower income,Urban,South,2-year College Degree,Female,Protestant,Maryland,1
55,"(49,64]",democrat,White,Lower income,Urban,West,Some College,Male,Protestant,Washington,1
40,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,South Dakota,1
36,"(29,49]",democrat,Black,Lower income,Urban,West,2-year College Degree,Female,Something else,Hawaii,1
52,"(49,64]",democrat,White,Lower income,Rural,Northeast,No High School,Female,Protestant,Pennsylvania,1
56,"(49,64]",republican,White,Lower income,Urban,West,High School Graduate,Male,Protestant,Oklahoma,7
33,"(29,49]",republican,Hispanic,Lower income,Urban,South,High School Graduate,Male,Nothing in particular,Arkansas,7
29,"(18,29]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Male,Nothing in particular,Colorado,1
35,"(29,49]",democrat,White,Lower income,Rural,West,No High School,Female,Nothing in particular,Hawaii,4
37,"(29,49]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Male,Nothing in particular,Pennsylvania,1
36,"(29,49]",democrat,Native American,Lower income,Rural,Northeast,No High School,Female,Nothing in particular,Rhode Island,2
51,"(49,64]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Male,Nothing in particular,Massachusetts,2
48,"(29,49]",democrat,Hispanic,Lower income,Urban,South,High School Graduate,Female,Roman Catholic,Arkansas,1
40,"(29,49]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,District of Columbia,5
29,"(18,29]",republican,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Washington,7
29,"(18,29]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Washington,2
68,"(64,90]",democrat,Black,Lower income,Urban,Midwest,4-year College Degree,Male,Something else,Missouri,3
41,"(29,49]",democrat,Black,Lower income,Rural,West,No High School,Female,Protestant,Oklahoma,2
34,"(29,49]",democrat,Black,Lower income,Urban,West,2-year College Degree,Male,Protestant,Oklahoma,1
61,"(49,64]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Protestant,Idaho,4
40,"(29,49]",democrat,White,Lower income,Rural,West,High School Graduate,Female,Atheist,Colorado,6
58,"(49,64]",democrat,Hispanic,Lower income,Rural,West,High School Graduate,Female,Roman Catholic,Washington,1
72,"(64,90]",democrat,Black,Lower income,Urban,Northeast,Some College,Female,Protestant,Pennsylvania,1
49,"(29,49]",republican,White,Lower income,Rural,West,Some College,Male,Protestant,Idaho,6
54,"(49,64]",democrat,White,Lower income,Rural,West,2-year College Degree,Male,Nothing in particular,Utah,4
37,"(29,49]",republican,Black,Lower income,Urban,South,High School Graduate,Female,Jewish,Virginia,4
27,"(18,29]",democrat,Hispanic,Lower income,Urban,West,Some College,Female,Nothing in particular,Colorado,2
34,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Mormon,Wyoming,7
39,"(29,49]",democrat,White,Lower income,Urban,West,Some College,Male,Protestant,Oklahoma,1
23,"(18,29]",democrat,Hispanic,Lower income,Urban,South,Some College,Female,Roman Catholic,North Carolina,3
52,"(49,64]",democrat,White,Lower income,Urban,West,High School Graduate,Male,Something else,Washington,1
39,"(29,49]",republican,White,Lower income,Urban,Midwest,No High School,Male,Roman Catholic,Missouri,7
51,"(49,64]",republican,White,Lower income,Rural,Northeast,High School Graduate,Male,Agnostic,Rhode Island,7
24,"(18,29]",republican,White,Lower income,Rural,South,High School Graduate,Male,Something else,Maryland,7
29,"(18,29]",republican,Black,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Hawaii,7
59,"(49,64]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,Virginia,1
42,"(29,49]",democrat,Other,Lower income,Urban,South,4-year College Degree,Female,Protestant,Mississippi,2
64,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,New Mexico,1
45,"(29,49]",democrat,White,Lower income,Rural,West,2-year College Degree,Male,Roman Catholic,Hawaii,2
26,"(18,29]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,Nebraska,1
33,"(29,49]",democrat,Black,Lower income,Rural,West,High School Graduate,Male,Protestant,Utah,2
39,"(29,49]",republican,White,Lower income,Urban,West,No High School,Male,Nothing in particular,Hawaii,6
34,"(29,49]",democrat,Black,Lower income,Urban,Northeast,Some College,Male,Protestant,Pennsylvania,3
40,"(29,49]",democrat,White,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Wyoming,1
68,"(64,90]",democrat,Black,Upper income,Urban,Midwest,4-year College Degree,Male,Nothing in particular,Ohio,1
40,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Mormon,Colorado,1
51,"(49,64]",republican,White,Lower income,Urban,West,High School Graduate,Male,Something else,Nevada,5
26,"(18,29]",democrat,White,Lower income,Urban,West,4-year College Degree,Male,Protestant,Idaho,7
43,"(29,49]",democrat,Black,Lower income,Urban,South,Some College,Female,Protestant,Maryland,2
35,"(29,49]",republican,White,Lower income,Rural,Midwest,High School Graduate,Female,Protestant,Kansas,1
46,"(29,49]",democrat,Hispanic,Lower income,Urban,West,Some College,Female,Roman Catholic,Washington,1
23,"(18,29]",democrat,Black,Lower income,Urban,Midwest,2-year College Degree,Female,Muslim,Ohio,1
